title,link,description
Áo chống đạn hoạt động thế nào?,https://vnexpress.net/ao-chong-dan-hoat-dong-the-nao-4862215.html,Richard Davis - người chế tạo ra áo vest chống đạn từng tự bắn 192 lần vào ngực ở cự ly gần vì biết vật liệu siêu bền như Kevlar dùng làm áo có thể hấp thụ năng lượng từ viên đạn.
Turbine thủy triều mạnh nhất thế giới,https://vnexpress.net/turbine-thuy-trieu-manh-nhat-the-gioi-4862406.html,"Dự án trang trại điện thủy triều NH1 có thể sản xuất gần 34 GWh điện hàng năm, đủ cung cấp cho 15.000 hộ gia đình ở Pháp."
Hệ thống thông minh đo 'sức khỏe' các cây cầu cũ,https://vnexpress.net/he-thong-thong-minh-do-suc-khoe-cac-cay-cau-cu-4861376.html,"Các nhà khoa học Việt Nam và Hàn Quốc đã phát triển một hệ thống giám sát thông minh, sử dụng cảm biến kỹ thuật số để bảo trì và quản lý các cây cầu cũ."
Trung Quốc phát triển robot khai khoáng vũ trụ đầu tiên,https://vnexpress.net/trung-quoc-phat-trien-robot-khai-khoang-vu-tru-dau-tien-4862221.html,"Robot khai khoáng có 3 chân bánh xe và 3 chân móng vuốt, giúp thích ứng với môi trường vi trọng lực và địa hình gồ ghề ngoài Trái Đất. 17"
Nhà máy Mỹ sử dụng robot để chế tạo robot,https://vnexpress.net/nha-may-my-su-dung-robot-de-che-tao-robot-4862095.html,"Nhà máy mới của công ty Figure sẽ kết hợp sử dụng robot và công nhân, có thể sản xuất 12.000 robot hình người mỗi năm. 19"
Nhật Bản xây trạm dừng tàu đầu tiên bằng công nghệ in 3D,https://vnexpress.net/nhat-ban-xay-tram-dung-tau-dau-tien-bang-cong-nghe-in-3d-4862155.html,Công ty Đường sắt Tây Nhật Bản (JR West) sẽ thay thế trạm dừng tàu Hatsushima cũ ở tỉnh Wakayama bằng tòa nhà in 3D mới chỉ trong 6 tiếng.
Giải pháp tận dụng năng lượng mặt trời chiếm ưu thế tại Sáng kiến Khoa học 2025,https://vnexpress.net/giai-phap-tan-dung-nang-luong-mat-troi-chiem-uu-the-tai-sang-kien-khoa-hoc-2025-4861272.html,"Hai tháng sau khi mở cổng đăng ký, Cuộc thi Sáng kiến Khoa học 2025 nhận được gần 100 hồ sơ, trong đó có nhiều giải pháp công nghệ tận dụng năng lượng mặt trời."
Bên trong Trung tâm điều khiển và vận hành vệ tinh Việt Nam,https://vnexpress.net/ben-trong-trung-tam-dieu-khien-va-van-hanh-ve-tinh-viet-nam-4860202.html,"Hệ thống mặt đất tại Khu công nghệ cao Hòa Lạc, Hà Nội, bao gồm anten đường kính 9,3 m trung tâm điều khiển và vận hành vệ tinh, sẵn sàng thu nhận tín hiệu, xử lý dữ liệu khi vệ tinh của Việt Nam bay vào quỹ đạo."
Chính phủ sẽ xây dựng cơ chế thử nghiệm công nghệ mới,https://vnexpress.net/chinh-phu-se-xay-dung-co-che-thu-nghiem-cong-nghe-moi-4838557.html,
Nhà khoa học Việt tìm dấu vết nước trên Sao Hỏa,https://vnexpress.net/nha-khoa-hoc-viet-tim-dau-vet-nuoc-tren-sao-hoa-4857476.html,
Tại sao vũ khí hạt nhân vẫn khó sản xuất?,https://vnexpress.net/tai-sao-vu-khi-hat-nhan-van-kho-san-xuat-4861984.html,Các nhà khoa học đã chế tạo vũ khí hạt nhân trong hơn 80 năm qua nhưng làm chủ công nghệ này vẫn là một thách thức.
PGS.TS Vũ Hải Quân: Nhà khoa học thoát kiểu nghiên cứu 'chạy gạo từng bữa',https://vnexpress.net/pgs-ts-vu-hai-quan-nha-khoa-hoc-thoat-kieu-nghien-cuu-chay-gao-tung-bua-4862007.html,"Nghị quyết 57 giao quyền tự chủ tài chính cho các nhà khoa học và đơn vị chủ quản, được ví như ""khoán"" sẽ giúp thoát cảnh nghiên cứu ""chạy gạo từng bữa"", theo PGS.TS Vũ Hải Quân, Giám đốc Đại học Quốc gia TP HCM."
Hệ thống container chở hàng siêu tốc trong đường ống chân không,https://vnexpress.net/he-thong-container-cho-hang-sieu-toc-trong-duong-ong-chan-khong-4861545.html,BRAZILCác khoang tàu của công ty Hyperloop sẽ giúp vận chuyển container ở tốc độ ngang với máy bay giữa cảng Santos của Brazil và những thành phố lớn.
Robot hình người huấn luyện cho cuộc thi marathon đầu tiên,https://vnexpress.net/robot-hinh-nguoi-huan-luyen-cho-cuoc-thi-marathon-dau-tien-4861991.html,Các công ty chế tạo robot Trung Quốc đang tìm cách điều chỉnh phần cứng và thuật toán của robot hình người để chúng sẵn sàng thi đấu trong cuộc thi cự ly 21 km.
Đề xuất bố trí nhà và xe công vụ cho nhà khoa học đầu ngành,https://vnexpress.net/de-xuat-bo-tri-nha-va-xe-cong-vu-cho-nha-khoa-hoc-dau-nganh-4861591.html,"Bộ Khoa học và Công nghệ đề xuất chính sách bố trí nhà công vụ và phương tiện đi lại cho nhà khoa học đầu ngành, tổng công trình sư trong thời gian thực hiện nhiệm vụ. 41"
Robot thông minh xây dựng 'Vạn lý Trường thành xanh',https://vnexpress.net/robot-thong-minh-xay-dung-van-ly-truong-thanh-xanh-4861931.html,Drone và robot trồng cây thông minh giúp tăng đáng kể hiệu suất trồng cây chắn gió ngăn chặn sa mạc hóa ở phía bắc Trung Quốc. 15
Tên lửa Starship sẽ chở robot hình người tới sao Hỏa năm 2026,https://vnexpress.net/ten-lua-starship-se-cho-robot-hinh-nguoi-toi-sao-hoa-nam-2026-4861874.html,"Nhà sáng lập kiêm giám đốc điều hành SpaceX Elon Musk hôm 14/3 thông báo tên lửa Starship của công ty sẽ bay tới sao Hỏa cuối năm 2026, chở theo robot hình người Optimus của Tesla. 23"
Trí thức công nghệ hiến kế để Thái Nguyên thu tỷ đô từ cây chè,https://vnexpress.net/tri-thuc-cong-nghe-hien-ke-de-thai-nguyen-thu-ty-do-tu-cay-che-4861852.html,"Hơn 20 chuyên gia công nghệ đề xuất Thái Nguyên mạnh dạn đầu tư cho công nghệ phát triển sản phẩm trà, nghiên cứu để nâng giá trị ngành."
Công nghệ thử nghiệm ôtô thông minh ở Trung Quốc,https://vnexpress.net/cong-nghe-thu-nghiem-oto-thong-minh-o-trung-quoc-4861839.html,"Nhờ áp dụng các biện pháp mô phỏng, bãi thử nghiệm ở Trùng Khánh tăng số lượng kịch bản đánh giá ôtô từ khoảng 10 lên hơn 10.000. 48"
Lý do công nghệ tàng hình ít phổ biến,https://vnexpress.net/ly-do-cong-nghe-tang-hinh-it-pho-bien-4861807.html,Các nhà nghiên cứu đã phát triển những phương pháp sáng tạo để một vật dường như biến mất trước mắt người song công nghệ này chưa ứng dụng phổ biến với nhiều lý do.
